Test_Date,County_Code,Positive_Cases,Total_Tests
2020-08-09,36081,66,6810
2020-08-09,36085,13,1655
2020-08-10,36005,52,5085
2020-08-10,36047,85,7832
2020-08-10,36061,55,6637
2020-08-10,36081,63,7557
2020-08-10,36085,19,2137
2020-08-11,36005,91,7936
2020-08-11,36047,102,13376
2020-08-11,36061,76,11411
2020-08-11,36081,96,11296
2020-08-11,36085,21,2162
2020-08-12,36005,116,7112
2020-08-12,36047,132,11991
2020-08-12,36061,70,10005
2020-08-12,36081,96,10587
2020-08-12,36085,24,2896
2020-08-13,36005,94,6421
2020-08-13,36047,94,11534
2020-08-13,36061,62,9097
2020-08-13,36081,98,9417
2020-08-13,36085,19,2232
2020-08-14,36005,72,6854
2020-08-14,36047,143,11157
2020-08-14,36061,63,10046
2020-08-14,36081,75,9485
2020-08-14,36085,29,2190
2020-08-15,36005,73,6404
2020-08-15,36047,82,9558
2020-08-15,36061,56,8877
2020-08-15,36081,76,8964
2020-08-15,36085,20,1946
2020-08-16,36005,62,4741
2020-08-16,36047,52,7178
2020-08-16,36061,43,6499
2020-08-16,36081,71,6531
2020-08-16,36085,7,1454
2020-08-17,36005,54,4675
2020-08-17,36047,89,6635
2020-08-17,36061,64,6304
2020-08-17,36081,63,7566
2020-08-17,36085,14,1440
2020-08-18,36005,67,5593
2020-08-18,36047,80,9135
2020-08-18,36061,36,7227
2020-08-18,36081,76,8697
2020-08-18,36085,14,2347
2020-08-19,36005,47,5404
2020-08-19,36047,80,8866
2020-08-19,36061,62,8868
2020-08-19,36081,67,7919
2020-08-19,36085,17,2464
2020-08-20,36005,56,6412
2020-08-20,36047,74,10187
2020-08-20,36061,58,13084
2020-08-20,36081,87,9595
2020-08-20,36085,11,2418
2020-08-21,36005,57,6575
2020-08-21,36047,65,10752
2020-08-21,36061,47,10874
2020-08-21,36081,85,9864
2020-08-21,36085,13,2419
2020-08-22,36005,70,4938
2020-08-22,36047,74,9135
2020-08-22,36061,44,8759
2020-08-22,36081,71,8021
2020-08-22,36085,20,2047
2020-08-23,36005,57,5139
2020-08-23,36047,47,7826
2020-08-23,36061,44,7078
2020-08-23,36081,51,6731
2020-08-23,36085,15,1899
2020-08-24,36005,45,4295
2020-08-24,36047,73,7206
2020-08-24,36061,41,6311
2020-08-24,36081,60,7615
2020-08-24,36085,12,1976
2020-08-25,36005,53,5356
2020-08-25,36047,76,7982
2020-08-25,36061,48,6958
2020-08-25,36081,65,7380
2020-08-25,36085,17,2295
2020-08-26,36005,65,5536
2020-08-26,36047,92,9334
2020-08-26,36061,50,8611
2020-08-26,36081,90,9323
2020-08-26,36085,18,1950
2020-08-27,36005,49,6190
2020-08-27,36047,90,12228
2020-08-27,36061,42,10796
2020-08-27,36081,74,10808
2020-08-27,36085,15,2716
2020-08-28,36005,62,6306
2020-08-28,36047,103,10970
2020-08-28,36061,36,10384
2020-08-28,36081,64,9361
2020-08-28,36085,13,2633
2020-08-29,36005,65,6777
2020-08-29,36047,73,11050
2020-08-29,36061,62,12710
2020-08-29,36081,64,9959
2020-08-29,36085,17,2346
2020-08-30,36005,77,4853
2020-08-30,36047,68,6950
2020-08-30,36061,44,8524
2020-08-30,36081,60,7760
2020-08-30,36085,19,1528
2020-08-31,36005,53,4880
2020-08-31,36047,120,9322
2020-08-31,36061,46,8300
2020-08-31,36081,66,7896
2020-08-31,36085,20,2469
2020-09-01,36005,48,7315
2020-09-01,36047,83,9606
2020-09-01,36061,52,9625
2020-09-01,36081,56,8304
2020-09-01,36085,24,2045
2020-09-02,36005,56,5696
2020-09-02,36047,127,10421
2020-09-02,36061,33,10430
2020-09-02,36081,69,8548
2020-09-02,36085,18,2887
2020-09-03,36005,52,6596
2020-09-03,36047,112,13236
2020-09-03,36061,59,11920
2020-09-03,36081,83,10286
2020-09-03,36085,19,2642
2020-09-04,36005,41,6367
2020-09-04,36047,100,10610
2020-09-04,36061,62,11633
2020-09-04,36081,53,9136
2020-09-04,36085,24,2553
2020-09-05,36005,52,5858
2020-09-05,36047,86,11113
