Route,Notes,FIPS,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Q77,,36081,"1,790,430","1,825,110","1,760,132","1,648,095",1642701,930721,"-711,980",-43.30%,141
Q83,,36081,"2,721,197","2,658,399","2,585,726","2,497,239",2448711,1455050,"-993,661",-40.60%,92
Q84,,36081,"1,351,348","1,321,126","1,287,324","1,245,582",1230209,696411,"-533,798",-43.40%,161
Q85,,36081,"3,732,421","3,625,708","3,481,666","3,342,545",3265950,1931283,"-1,334,667",-40.90%,62
Q88,,36081,"3,169,394","3,296,348","3,321,116","3,283,189",3332561,1615720,"-1,716,841",-51.50%,80
Q100,,36081,"1,404,569","1,371,122","1,363,902","1,345,218",1290195,633244,"-656,952",-50.90%,176
Q101,,36081,"1,037,328","1,097,080","1,085,758","1,184,910",1236507,744902,"-491,605",-39.80%,155
Q102,,36081,"834,566","833,843","860,362","1,011,421",879686,535623,"-344,063",-39.10%,188
Q103,,36081,"351,544","395,739","459,969","497,553",504580,252999,"-251,582",-49.90%,209
Q104,,36081,"723,751","731,520","716,287","727,988",709695,422064,"-287,631",-40.50%,195
Q110,,36081,"1,973,091","1,917,545","1,838,126","1,798,840",1672902,648527,"-1,024,375",-61.20%,174
Q111,,36081,"3,999,127","3,781,018","3,529,904","3,428,213",3314344,2182153,"-1,132,191",-34.20%,52
Q112,,36081,"1,527,005","1,622,749","1,651,542","1,707,277",1621978,622510,"-999,468",-61.60%,178
Q113,,36081,"1,361,629","1,364,068","1,238,145","1,144,471",1100782,583591,"-517,190",-47.00%,183
Q114,C,36081,"2,090,902","2,123,963","2,027,002","1,955,489",1833056,1173885,"-659,171",-36.00%,117
S40/90,,36085,"1,443,435","1,422,699","1,345,738","1,259,694",1393953,1039053,"-354,900",-25.50%,131
S42,,36085,"229,963","232,121","223,331","210,333",194616,86156,"-108,461",-55.70%,223
S44/94,,36085,"2,281,715","2,208,126","2,058,445","1,888,694",1841420,1105751,"-735,670",-40.00%,123
S46/96,,36085,"2,343,859","2,232,555","2,115,673","1,963,513",1867938,1120725,"-747,212",-40.00%,121
S48/98,,36085,"2,527,069","2,428,429","2,308,453","2,113,267",2006665,1273218,"-733,448",-36.60%,111
S51/81,,36085,"1,308,454","1,278,638","1,217,850","1,125,666",1099250,664661,"-434,589",-39.50%,170
S52,,36085,"1,122,152","1,067,692","1,050,057","963,918",944673,591187,"-353,486",-37.40%,182
S53,,36085,"3,144,872","3,107,041","3,022,042","2,774,088",2631038,1781478,"-849,559",-32.30%,68
S54,,36085,"367,524","333,901","281,972","239,755",246625,137125,"-109,501",-44.40%,218
S55,,36085,"98,983","90,165","75,280","73,388",70317,33801,"-36,516",-51.90%,229
S56,,36085,"135,134","130,886","122,967","113,704",114465,53644,"-60,821",-53.10%,228
S57,,36085,"466,286","448,263","426,302","377,627",373933,257084,"-116,848",-31.20%,208
S59,,36085,"1,209,299","1,145,649","1,090,588","985,672",957999,612244,"-345,755",-36.10%,181
S61/91,,36085,"1,417,818","1,379,091","1,325,412","1,243,703",1216471,663507,"-552,965",-45.50%,171
S62/92,,36085,"1,393,416","1,399,287","1,325,183","1,207,798",1160107,647532,"-512,574",-44.20%,175
S66,,36085,"425,998","421,415","409,595","390,474",389699,182457,"-207,242",-53.20%,212
S74/84,,36085,"1,781,545","1,744,720","1,715,143","1,583,223",1567290,946320,"-620,970",-39.60%,138
S76/86,,36085,"1,399,429","1,366,816","1,281,007","1,141,473",1149893,733078,"-416,815",-36.20%,156
S78,,36085,"1,970,352","1,936,425","1,892,701","1,714,452",1710973,1047587,"-663,386",-38.80%,128
S79SBS,,36085,"3,593,331","3,680,588","3,659,834","3,562,610",3571198,2148212,"-1,422,985",-39.80%,57
S89,,36085,"198,281","191,891","176,916","148,052",142858,66908,"-75,950",-53.20%,227
S93,,36085,"821,753","936,211","958,560","929,295",1082602,506366,"-576,236",-53.20%,189
